message_id,action,message_type,reason,confidence,evidence_message_ids
msg_088,mute,promotion,"Voice message in a marketplace group from an unknown sender with no prior relationship; user has a history of dismissing and muting group messages, indicating low value and potential promotional content.",0.75,message_0116;message_0115;message_0335;message_0050;message_0224
msg_056,notify,urgent,"Personal, time‑sensitive request from a family group member; user has high engagement with family messages and the content contains an urgency cue.",0.9,message_0167;message_0168;message_0039;message_0241;message_0171
msg_027,digest,promotion,"Marketing message from a verified travel business with a prior relationship; not urgent, user has moderate engagement with promotions, so it can be batched.",0.85,message_0272;message_0033;message_0007;message_0109;message_0110
msg_050,notify,business_update,"User has a prior relationship with the business for prescription refill, has consistently opened and replied to similar messages, and the content is a health-related update that may require timely action. Despite the business being unverified and a scam word flag, the user’s engagement and trust outweigh the risk.",0.92,message_0279;message_0155;message_0156;message_0278;message_0372
msg_083,notify,personal,"The voice message comes from a group admin in a coworker group. The user has high engagement with group messages, no history of dismissing or reporting such messages, and the content is likely relevant to workplace communication. Therefore, it should be notified immediately.",0.78,message_0219;message_0325;message_0323;message_0324;message_0041
msg_063,mute,scam,"The message contains urgency, financial request, and scam indicators, and the user has a history of reporting similar content. The group’s high dismiss and report rates further confirm it as suspicious. It should be muted to protect the user.",0.94,message_0182;message_0181;message_0209;message_0133;message_0015
msg_033,notify,personal,"Friendly check‑in from a family member, no urgency or spam signals, user likely to engage.",0.92,message_0121;message_0122;message_0280;message_0372;message_0409
msg_061,mute,promotion,"High forwarded count, user previously dismissed similar messages, likely spam or promotional content.",0.85,message_0042;message_0193;message_0177;message_0194;message_0178
msg_020,mute,scam,"Urgent financial request with suspicious link, high report rates from sender and user, classified as scam.",0.95,message_0096;message_0095;message_0049;message_0114;message_0065
msg_017,mute,scam,"High risk of scam due to sender's history of muted/dismissed messages, group context of a marketplace, message content urging payment, and similarity to previously reported scam messages.",0.88,message_0090;message_0089;message_0319;message_0318;message_0317
msg_058,mute,spam,"Forwarded health secret with high forwarded count, user has dismissed similar messages, and sender has high mute/dismiss rates, indicating spam content.",0.9,message_0241;message_0040;message_0039;message_0172;message_0124
msg_026,mute,scam,"Domain mismatch, flagged scam word, user has reported similar messages, and the business is not verified, indicating a phishing attempt.",0.92,message_0032;message_0107;message_0108;message_0261;message_0260
msg_047,notify,event,Maintenance notice from group admin about lift service; important for residents; user has high engagement with group messages; not urgent but event reminder.,0.92,message_0149;message_0150;message_0001;message_0097;message_0067
msg_046,mute,scam,OTP request in family group; flagged as scam; user previously dismissed and reported similar; high risk of phishing.,0.96,message_0148;message_0147;message_0202;message_0184;message_0088
msg_042,notify,urgent,Security alert about gate closure; requires immediate action; urgency word present; user likely to act.,0.94,message_0140;message_0139;message_0058;message_0240;message_0057
msg_079,mute,scam,"The message contains a scam warning about OTP and account block, flagged with scam and financial keywords, sent by a non-admin in a large marketplace group with no prior relationship to the user. The user has no history of engaging with such content, and the sender has high mute/dismiss rates, indicating a high likelihood of spam or phishing.",0.92,message_0053;message_0045;message_0023;message_0214;message_0196
msg_098,notify,urgent,"The user receives a personal, time‑sensitive request to call regarding a clinic appointment. The message has an urgency flag, the sender has a strong engagement history with the user, and the user typically responds to personal messages. This warrants immediate notification.",0.93,message_0226;message_0359;message_0225;message_0054;message_0168
msg_037,digest,event,"The message is a routine group notice requesting a bucket for a delivery. It is not urgent, contains no suspicious content, and the user has a history of engaging with group updates. A digest notification is appropriate to avoid interrupting the user while still keeping them informed.",0.85,message_0216;message_0190;message_0180;message_0142;message_0130
msg_007,digest,event,Routine group event update about potluck registration; low urgency and user historically engages with group messages.,0.92,message_0070;message_0069;message_0277;message_0276;message_0275
msg_085,mute,scam,"Voice message from an unverified bank with domain mismatch, high user reports, likely scam; user is in DND window.",0.95,message_0221;message_0412;message_0264;message_0263;message_0369
msg_001,notify,urgent,Urgent safety update about tanker leaving and water supply; requires immediate action and user is not in DND.,0.93,message_0057;message_0240;message_0058;message_0139;message_0140
msg_021,notify,payment,Payment reminder from group admin with high engagement metrics; urgent due date; user typically opens and replies to such messages; not spam or scam.,0.95,message_0098;message_0068;message_0001;message_0030;message_0097
msg_028,mute,promotion,Marketing promotion from a verified business; user has opted out of promotions and has a high dismiss rate for this business; message is not urgent or personal.,0.92,message_0034;message_0112;message_0111;message_0402;message_0257
msg_012,mute,spam,Highly forwarded health tip with a forwarded count of 9; user has dismissed similar messages and the sender has a high mute rate; likely spam content.,0.9,message_0247;message_0079;message_0080;message_0194;message_0178
msg_064,mute,scam,"High likelihood of scam: message contains financial content, flagged scam word, forwarded twice, user has previously reported, dismissed, and muted similar messages in this group. Sender has low engagement and high mute/report rates. The group context (marketplace) and lack of verified business further support a scam classification.",0.95,message_0202;message_0184;message_0088;message_0024;message_0201
msg_103,notify,personal,"Personal pickup request from a known contact. No suspicious indicators, user has historically opened and replied to similar messages, and the sender has a moderate engagement profile. The message is not urgent but relevant, so immediate notification is appropriate.",0.85,message_0231;message_0382;message_0065;message_0049;message_0332
msg_031,notify,urgent,"Work‑related meeting reminder from group admin with a clear deadline. The message stresses urgency (“otherwise tomorrow morning will be messy”) and requires immediate action. User has high engagement with this group and the sender’s high reply rate indicates importance. Therefore, notify immediately.",0.9,message_0249;message_0117;message_0118;message_0362;message_0228
msg_057,notify,urgent,"The message is a work‑related request from a group admin asking the user to investigate a build failure before updating the client thread. The user has a history of opening and replying to similar messages, indicating high engagement and relevance. The content is time‑sensitive and requires immediate attention.",0.96,message_0003;message_0266;message_0169;message_0059;message_0041
msg_087,mute,spam,"The voice message comes from a non‑admin in a real‑estate leads group, a context known for promotional content. The user has a high dismiss and report rate for similar messages, and the sender’s historical metrics show frequent muting and reporting. The lack of text and the group’s nature suggest a likely spam or promotional broadcast.",0.68,message_0358;message_0203;message_0204;message_0223;message_0391
msg_067,notify,payment,"The admin is reminding the user of a maintenance payment deadline with a potential late fee. The message contains financial terms and is time‑sensitive. The user is an active member of the society group, has a history of opening and replying to such notices, and the message is a legitimate payment request.",0.94,message_0097;message_0067;message_0098;message_0068;message_0030
msg_039,notify,urgent,Direct request from school admin to send fee receipt before field‑trip list closure; urgent for the user and user has high engagement with group messages; not spam.,0.92,message_0255;message_0051;message_0002;message_0403;message_0209
msg_082,notify,event,Voice message from coworker group admin likely contains important event or update; user engages with group and message is not flagged as spam or scam.,0.85,message_0397;message_0218;message_0380;message_0035;message_0322
msg_066,mute,promotion,Promotional message from verified retailer; user has opted out of promotions and has a high dismiss rate for similar messages; mute to respect opt‑out.,0.95,message_0188;message_0187;message_0402;message_0257;message_0034
msg_049,notify,event,Verified Shopee return pickup reminder for scheduled pickup time; user has prior relationship and high engagement; important event notification.,0.96,message_0154;message_0291;message_0153;message_0290;message_0292
msg_015,mute,scam,Group message containing OTP request with scam indicators; no verified business; user has no relationship; high risk of phishing; mute.,0.93,message_0200;message_0086;message_0199;message_0085;message_0045
msg_051,mute,promotion,Promotional offer from Flipkart; user opted out of promotions and has high dismiss rate; message forwarded; not urgent; mute.,0.9,message_0257;message_0104;message_0157;message_0158;message_0103
msg_097,notify,personal,"Personal conversation with a known contact, not urgent but likely to be read and replied to by the user.",0.92,message_0226;message_0359;message_0225;message_0054;message_0167
msg_089,digest,personal,"Low‑urgency routine notification about a lost item; user has muted the sender and previously dismissed similar messages, so a digest is appropriate.",0.75,message_0396;message_0299;message_0301;message_0300;message_0392
msg_053,digest,business_update,"Routine market note in an investment group; not urgent and typical of group updates, so a digest is suitable.",0.8,message_0411;message_0253;message_0161;message_0162;message_0202
msg_059,mute,scam,"The message requests personal account details, contains scam indicators, the sender has no prior relationship with the user, and the group has a high report rate. The user has previously muted similar messages.",0.92,message_0053;message_0214;message_0196;message_0173;message_0213
msg_024,mute,promotion,"This is a promotional reminder from a verified business. The user has opted out of promotions and has a high dismiss rate for similar messages, indicating they do not want such notifications.",0.88,message_0257;message_0104;message_0157;message_0158;message_0103
msg_072,mute,scam,"The message contains a suspicious link, requests OTP, and has scam indicators. The sender has no prior relationship with the user, and the group shows a high report rate. The user has not engaged with similar content.",0.93,message_0200;message_0086;message_0199;message_0085;message_0053
msg_036,mute,scam,"Business is unverified, domain mismatch, high forwarded count, user history of dismissing, muting, and reporting similar messages, and the message contains a scam indicator. The risk of phishing or fraud is high.",0.92,message_0283;message_0127;message_0128;message_0281;message_0126
msg_076,mute,scam,"Unverified business, domain mismatch, user has repeatedly dismissed, muted, and reported similar messages, and the content flags a scam. The message is likely a phishing attempt.",0.9,message_0207;message_0159;message_0208;message_0160;message_0286
msg_055,notify,urgent,"Personal message from a group member requesting immediate action, sent just after the user’s do‑not‑disturb window. The user has a high reply rate for such messages, so immediate notification is appropriate.",0.95,message_0166;message_0165;message_0387;message_0398;message_0349
msg_102,notify,urgent,Work‑critical rollback notification from a trusted sender; user historically engages with similar messages; message time outside DND window; requires immediate attention.,0.96,message_0371;message_0230;message_0169;message_0059;message_0170
msg_080,notify,urgent,Urgent gate closure notice from group admin; user has high engagement with similar messages; message time outside DND window; requires immediate action.,0.94,message_0216;message_0190;message_0180;message_0142;message_0130
msg_093,digest,business_update,Routine delivery attempt notification from verified FedEx; not urgent; user is in DND window; user historically dismisses similar messages; route to digest.,0.68,message_0398;message_0349;message_0348;message_0347;message_0387
msg_034,mute,forward,High forwarded count (11) and user has muted/dismissed most messages from this sender; low engagement and not urgent.,0.85,message_0171;message_0123;message_0077;message_0040;message_0039
msg_035,digest,promotion,"Promotional content from a verified business with prior relationship; not urgent, so route to digest.",0.9,message_0281;message_0125;message_0126;message_0283;message_0282
msg_101,digest,personal,"Low‑urgency personal message received during user’s DND window; not urgent, so digest.",0.9,message_0370;message_0229;message_0268;message_0371;message_0230
msg_041,digest,business_update,"The message is a survey from a verified business (Polaris School of Technology). It is not urgent, contains no scam or financial content, and the user has previously engaged with similar business messages. Routing to digest keeps the user informed without interrupting.",0.85,message_0138;message_0137;message_0028;message_0239;message_0004
msg_011,mute,forward,"The message is a highly forwarded positive‑energy note. The sender is muted by the user, the user has a high dismiss rate for this sender, and the content is non‑urgent. Muting prevents repetitive, low‑value notifications.",0.9,message_0171;message_0123;message_0077;message_0014;message_0040
msg_110,mute,scam,"The message contains urgency and scam indicators (request for a 6‑digit code, phishing language). The user has a high dismiss and mute rate for this sender and the content is suspicious. Muting protects the user from potential phishing.",0.95,message_0238;message_0381;message_0380;message_0320;message_0047
msg_095,mute,scam,"Unknown sender with no prior relationship, presence of scam indicators (scam word, suspicious URL, prompt injection attempt), high dismiss and report rates in historical evidence, and system note instructing notification is overridden by security checks.",0.92,message_0024;message_0202;message_0184;message_0088;message_0201
msg_074,mute,promotion,"Highly forwarded real‑estate lead with financial content, no verified business, user has a history of dismissing and reporting similar messages, and the group context indicates a promotional channel.",0.88,message_0204;message_0203;message_0358;message_0223;message_0164
msg_073,mute,scam,"Urgent phishing attempt with suspicious link, unknown sender, high dismiss/report rates, and historical evidence of similar messages being muted and reported.",0.93,message_0202;message_0184;message_0088;message_0201;message_0183
msg_054,mute,scam,"Message contains scam indicators (has_scam_word=1), sender has high mute and report rates, group has high report/dismiss rates, and user has a high dismiss history. This is likely a spam/loan scam. Mute to prevent interruption.",0.96,message_0164;message_0163;message_0203;message_0358;message_0204
msg_068,digest,personal,"Non‑urgent group chat message about a plan discussion. No scam or urgency signals. User engages with group content but the message is routine, so digesting avoids unnecessary interruption.",0.88,message_0191;message_0192;message_0289;message_0287;message_0288
msg_100,notify,urgent,Urgent work request with financial context and explicit time constraint. User has a history of responding to similar messages. Immediate notification is warranted.,0.92,message_0362;message_0228;message_0055;message_0227;message_0249
msg_062,notify,event,Important fire alarm test reminder from group admin; user has high engagement with group messages and likely wants to be aware of scheduled safety event.,0.92,message_0043;message_0001;message_0216;message_0190;message_0180
msg_096,notify,personal,Personal message informing user that their passport was found; user is likely to want to see this information despite unknown sender.,0.75,message_0355;message_0353;message_0405;message_0354;message_0361
msg_043,notify,urgent,"Urgent group notification about tanker supply; user is in the group, message is from admin, and user has high engagement with such alerts.",0.9,message_0001;message_0030;message_0097;message_0067;message_0215
msg_077,notify,urgent,Urgent school field‑trip circular from group admin with high user engagement and no spam signals; user likely needs to act.,0.95,message_0403;message_0051;message_0255;message_0037;message_0002
msg_081,mute,event,"User has muted and dismissed similar group messages; despite urgency, user preference indicates they want to ignore such notifications.",0.65,message_0217;message_0014;message_0013;message_0172;message_0167
msg_025,digest,business_update,Delivery update from a verified business; low urgency and policy recommends digesting routine updates.,0.9,message_0239;message_0004;message_0105;message_0106;message_0028
msg_084,mute,promotion,"User has opted out of promotions and has a history of dismissing similar promotional voice messages from this business; the message contains no urgency or financial content, so it should be muted.",0.75,message_0220;message_0357;message_0048;message_0356;message_0391
msg_022,notify,payment,"The group message requests a payment due today, contains financial content and is likely urgent; the user frequently engages with group messages, so it should be notified.",0.92,message_0099;message_0100;message_0151;message_0152;message_0150
